tas,Year, Month, Country,Month_Name,date
23.0784,1901,1,PRI,1-Jan,1901-01-01
23.5031,1901,2,PRI,1-Feb,1901-02-01
23.5213,1901,3,PRI,1-Mar,1901-03-01
24.2107,1901,4,PRI,1-Apr,1901-04-01
25.3853,1901,5,PRI,1-May,1901-05-01
25.2893,1901,6,PRI,1-Jun,1901-06-01
25.1789,1901,7,PRI,1-Jul,1901-07-01
25.9425,1901,8,PRI,1-Aug,1901-08-01
25.8651,1901,9,PRI,1-Sep,1901-09-01
25.2676,1901,10,PRI,1-Oct,1901-10-01
24.541,1901,11,PRI,1-Nov,1901-11-01
23.8098,1901,12,PRI,1-Dec,1901-12-01
22.87,1902,1,PRI,1-Jan,1902-01-01
23.5777,1902,2,PRI,1-Feb,1902-02-01
22.7875,1902,3,PRI,1-Mar,1902-03-01
23.5798,1902,4,PRI,1-Apr,1902-04-01
24.3638,1902,5,PRI,1-May,1902-05-01
24.9075,1902,6,PRI,1-Jun,1902-06-01
25.4748,1902,7,PRI,1-Jul,1902-07-01
25.76,1902,8,PRI,1-Aug,1902-08-01
25.3953,1902,9,PRI,1-Sep,1902-09-01
24.9954,1902,10,PRI,1-Oct,1902-10-01
24.3077,1902,11,PRI,1-Nov,1902-11-01
23.9193,1902,12,PRI,1-Dec,1902-12-01
23.57,1903,1,PRI,1-Jan,1903-01-01
23.0389,1903,2,PRI,1-Feb,1903-02-01
22.8941,1903,3,PRI,1-Mar,1903-03-01
23.8309,1903,4,PRI,1-Apr,1903-04-01
25.5561,1903,5,PRI,1-May,1903-05-01
26.1108,1903,6,PRI,1-Jun,1903-06-01
25.6333,1903,7,PRI,1-Jul,1903-07-01
25.6773,1903,8,PRI,1-Aug,1903-08-01
25.382,1903,9,PRI,1-Sep,1903-09-01
25.2535,1903,10,PRI,1-Oct,1903-10-01
24.3904,1903,11,PRI,1-Nov,1903-11-01
23.5198,1903,12,PRI,1-Dec,1903-12-01
22.8878,1904,1,PRI,1-Jan,1904-01-01
22.4043,1904,2,PRI,1-Feb,1904-02-01
